Time	CellId	RNTI	BWPId	SINR(dB)
0.459071	2	1	0	13.7284
0.460071	2	1	0	6.26318
0.460071	4	3	0	-0.356661
0.460071	4	2	0	1.04278
0.460071	4	1	0	35.784
0.461071	4	3	0	0.176591
0.461071	4	2	0	1.77844
0.461071	4	1	0	36.8526
0.465071	2	1	0	7.5655
0.465071	4	3	0	-0.348488
0.465071	4	2	0	0.875387
0.465071	4	1	0	35.4306
0.468071	4	3	0	0.120168
0.468071	4	2	0	1.48386
0.468071	4	1	0	36.8811
0.470071	2	1	0	6.62188
0.470071	4	3	0	-0.265553
0.470071	4	2	0	0.691635
0.470071	4	1	0	35.7387
0.475071	2	1	0	8.75517
0.475071	4	3	0	-0.368204
0.475071	4	2	0	0.811854
0.475071	4	1	0	35.4191
0.480071	2	1	0	7.89007
0.480071	4	3	0	-0.28153
0.480071	4	2	0	0.85586
0.480071	4	1	0	35.8781
0.485071	2	1	0	7.64778
0.485071	4	3	0	0.0545346
0.485071	4	2	0	0.751055
0.485071	4	1	0	35.7105
0.490071	2	1	0	6.35569
0.490071	4	3	0	0.160548
0.490071	4	2	0	0.466045
0.490071	4	1	0	35.8932
0.495071	2	1	0	7.07737
0.495071	4	3	0	0.0588012
0.495071	4	2	0	0.21321
0.495071	4	1	0	35.8565
0.500071	2	1	0	6.3167
0.500071	4	3	0	0.0470431
0.500071	4	2	0	0.38356
0.500071	4	1	0	35.8741
0.505071	2	1	0	5.90779
0.505071	4	3	0	-0.0596148
0.505071	4	2	0	0.562944
0.505071	4	1	0	35.8604
0.510071	2	1	0	6.16314
0.510071	4	3	0	0.00159739
0.510071	4	2	0	0.583542
0.510071	4	1	0	35.6583
0.515071	2	1	0	6.53278
0.515071	4	3	0	-0.0256351
0.515071	4	2	0	0.622502
0.515071	4	1	0	36.0579
0.520071	2	1	0	30.2926
0.520071	4	3	0	0.15561
0.520071	4	2	0	0.489662
0.520071	4	1	0	14.3622
0.525071	2	1	0	30.6454
0.525071	4	3	0	-0.0709144
0.525071	4	2	0	0.264813
0.525071	4	1	0	15.7335
0.530071	2	1	0	30.6124
0.530071	4	3	0	-0.211362
0.530071	4	2	0	0.473306
0.530071	4	1	0	15.4863
0.531071	4	3	0	1.74582
0.531071	4	2	0	0.30761
0.531071	4	1	0	16.2326
0.535071	2	1	0	30.1848
0.535071	4	3	0	-0.200592
0.535071	4	2	0	0.876013
0.535071	4	1	0	13.1174
0.539071	2	1	0	30.7139
0.540071	2	1	0	29.993
0.540071	4	3	0	-0.513587
0.540071	4	2	0	0.921647
0.540071	4	1	0	10.4158
0.541071	4	3	0	1.1992
0.541071	4	2	0	1.55627
0.541071	4	1	0	11.3691
0.545071	2	1	0	30.07
0.545071	4	3	0	0.336993
0.545071	4	2	0	0.173514
0.545071	4	1	0	11.344
0.548071	4	3	0	1.94084
0.548071	4	2	0	0.932237
0.548071	4	1	0	13.9824
0.550071	2	1	0	30.3538
0.550071	4	3	0	0.453774
0.550071	4	2	0	-0.136959
0.550071	4	1	0	13.9484
0.555071	2	1	0	30.4127
0.555071	4	3	0	-0.231026
0.555071	4	2	0	0.447349
0.555071	4	1	0	15.5084
0.560071	2	1	0	30.2123
0.560071	4	3	0	-0.0539296
0.560071	4	2	0	0.645353
0.560071	4	1	0	15.4673
0.565071	2	1	0	30.1065
0.565071	4	3	0	-0.4736
0.565071	4	2	0	1.24691
0.565071	4	1	0	13.65
0.570071	2	1	0	29.8717
0.570071	4	3	0	0.138332
0.570071	4	2	0	1.1815
0.570071	4	1	0	11.191
0.575071	2	1	0	30.1709
0.575071	4	3	0	-0.408863
0.575071	4	2	0	0.766996
0.575071	4	1	0	10.7111
0.580071	2	1	0	30.3306
0.580071	4	3	0	-0.714058
0.580071	4	2	0	0.260838
0.580071	4	1	0	13.2857
0.585071	2	1	0	30.4994
0.585071	4	3	0	-0.892402
0.585071	4	2	0	-0.346933
0.585071	4	1	0	15.1068
0.590071	2	1	0	30.2483
0.590071	4	3	0	-0.989608
0.590071	4	2	0	-0.0126182
0.590071	4	1	0	15.3313
0.595071	2	1	0	29.9846
0.595071	4	3	0	-0.0978825
0.595071	4	2	0	1.31479
0.595071	4	1	0	14.1309
0.600071	2	1	0	29.5368
0.600071	4	3	0	-0.310442
0.600071	4	2	0	1.65743
